 : 470
ability : 3
acting : 4
action : 4
actor : 4
actors : 6
actually : 5
age : 4
ages : 3
ago : 3
american : 5
among : 3
amusing : 3
another : 3
astonish : 3
audience : 5
away : 3
beautiful : 8
beautifully : 8
beauty : 3
become : 4
been : 5
before : 4
behold : 3
best : 13
beyond : 4
big : 4
both : 7
breathtakingly : 3
brilliant : 5
care : 3
cast : 8
casting : 3
certain : 3
character : 3
characters : 5
charm : 4
charming : 8
cinema : 3
cinematic : 6
classic : 3
comedy : 20
comic : 4
compelling : 4
complicated : 3
crafted : 5
creates : 3
credit : 3
crowd : 3
culture : 4
daring : 3
deeply : 9
delightfully : 3
dickens : 3
dignity : 3
director : 6
documentary : 8
does : 4
done : 3
down : 4
drama : 14
edge : 4
emotional : 4
end : 3
energy : 5
engaging : 6
engrossing : 3
enjoyable : 9
enough : 4
entertain : 3
entertaining : 13
epic : 3
ever : 7
every : 3
excellent : 6
experience : 3
eyes : 3
family : 6
far : 4
fare : 3
fascinating : 10
features : 3
feel : 7
feelgood : 3
female : 3
film : 49
filmmaking : 5
films : 6
finally : 5
fine : 4
formula : 3
french : 3
fresh : 3
full : 5
fun : 6
funny : 23
girl : 3
gives : 3
going : 3
good : 17
gorgeous : 7
grace : 3
grandeur : 3
great : 9
had : 4
hard : 4
has : 23
heart : 3
heartwarming : 3
highly : 6
hilarious : 8
history : 3
hoffman : 3
hollywood : 3
honest : 4
hugely : 3
humanity : 3
humor : 6
imax : 3
impressive : 3
inspiring : 3
intelligence : 3
intelligent : 5
intense : 3
interesting : 5
intricate : 3
inventive : 3
job : 3
keep : 4
keeps : 3
kind : 4
last : 3
life : 9
like : 8
little : 4
long : 4
looks : 4
love : 9
lrb : 6
made : 8
make : 7
makes : 5
man : 4
many : 7
masterful : 4
masterpiece : 3
material : 3
melodrama : 4
memorable : 5
men : 4
mix : 3
moments : 4
more : 15
movie : 35
movies : 12
moving : 13
much : 5
never : 4
new : 6
not : 6
nt : 7
occasionally : 3
offers : 3
often : 5
old : 4
oscar : 3
painful : 3
people : 4
perfect : 4
performance : 13
performances : 21
picture : 4
piece : 9
political : 3
portrait : 4
portrayal : 3
power : 3
powerful : 7
privileged : 3
psychological : 4
quirky : 3
real : 7
reality : 3
really : 4
recent : 3
remarkable : 3
right : 3
romantic : 4
rrb : 5
scenes : 3
seat : 4
seeing : 3
seen : 3
sense : 3
sexy : 4
short : 3
shot : 3
sides : 3
solid : 7
something : 5
spielberg : 3
spirits : 3
splendid : 3
star : 4
story : 9
strong : 3
study : 4
style : 4
stylish : 5
successful : 4
such : 5
surprisingly : 4
suspenseful : 3
sweet : 3
take : 3
tale : 5
terrific : 5
thing : 4
things : 4
those : 5
thoughtful : 3
thriller : 7
through : 6
time : 6
today : 3
tone : 4
touching : 5
treasure : 3
truly : 6
ultimately : 7
unexpected : 3
unpredictable : 5
us : 7
value : 3
very : 6
vivid : 3
warm : 3
while : 3
whole : 3
whose : 3
without : 6
witty : 3
women : 3
wonderful : 4
works : 3
world : 4
writing : 3
written : 4
years : 5
yet : 5
young : 7
